City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Pevek,RU,69.7008,170.3133,54.27,54,94,6.93,overcast clouds
116,Vao,NC,-22.6667,167.4833,69.76,64,0,9.66,clear sky
117,Magaria,NE,12.9983,8.9099,83.39,59,57,12.03,broken clouds
118,Honghu,CN,29.8206,113.4621,94.95,58,38,15.5,scattered clouds
119,Bilibino,RU,68.0546,166.4372,78.71,49,83,13.02,light rain
120,Santa Barbara,US,34.7333,-120.0343,54.16,86,0,4.61,clear sky
121,Saint-Augustin,CA,51.226,-58.6502,52.74,97,100,4.74,overcast clouds
122,Shelburne,CA,44.0787,-80.2041,72.36,90,74,13.38,broken clouds
123,Lata,PT,40.1629,-8.3327,75.27,37,99,4.74,overcast clouds
124,Porto Novo,BJ,6.4965,2.6036,78.62,92,99,6.22,light rain
125,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,0,6.91,clear sky
126,Puerto Ayora,EC,-0.7393,-90.3518,68.56,95,64,7.0,broken clouds
127,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,100,100,11.5,fog
128,Havoysund,NO,70.9963,24.6622,57.43,81,30,7.29,scattered clouds
129,Port-Gentil,GA,-0.7193,8.7815,69.76,94,40,3.44,mist
130,Opuwo,NA,-18.0607,13.84,55.65,41,0,6.91,clear sky
131,Alofi,NU,-19.0595,-169.9187,75.09,78,46,8.05,scattered clouds
132,Kaitangata,NZ,-46.2817,169.8464,43.5,95,100,16.89,moderate rain
133,Hovd,MN,48.0056,91.6419,76.42,22,3,8.34,clear sky
134,Puerto Madero,MX,14.7208,-92.4215,79.09,78,98,5.57,overcast clouds
135,Itarema,BR,-2.9248,-39.9167,77.7,81,66,13.96,broken clouds
136,Ostrovnoy,RU,68.0531,39.5131,67.35,72,99,6.49,overcast clouds
137,San Borja,BO,-14.8167,-66.85,74.98,70,84,2.51,broken clouds
138,Khatanga,RU,71.9667,102.5,35.94,97,100,13.0,light rain
139,College,US,64.8569,-147.8028,68.32,88,40,6.91,mist
140,Praia,CV,14.9215,-23.5087,75.74,78,75,8.05,broken clouds
141,Saint Anthony,US,45.0205,-93.218,69.42,72,0,6.91,clear sky
142,Lavrentiya,RU,65.5833,-171.0,45.91,85,87,3.8,overcast clouds
143,Hambantota,LK,6.1241,81.1185,91.74,55,20,18.41,few clouds
144,Bethel,US,41.3712,-73.414,70.65,79,0,5.75,clear sky
145,Saldanha,ZA,-33.0117,17.9442,50.05,84,5,5.95,clear sky
146,Ulaanbaatar,MN,47.9077,106.8832,60.93,63,75,20.13,light rain
147,Broome,US,42.2506,-75.833,74.68,68,0,7.0,clear sky
148,Pueblo Nuevo,MX,23.3833,-105.3833,59.23,98,99,3.42,overcast clouds
149,Guerrero Negro,MX,27.9769,-114.0611,66.85,85,43,14.16,scattered clouds
150,Faanui,PF,-16.4833,-151.75,77.99,76,0,11.56,light rain
151,Sambava,MG,-14.2667,50.1667,74.1,78,56,11.9,light rain
152,Avarua,CK,-21.2078,-159.775,71.65,78,75,4.61,light rain
153,Victoria,HK,22.2855,114.1577,91.96,73,15,10.0,few clouds
154,Berdigestyakh,RU,62.0989,126.6992,74.1,55,81,3.76,broken clouds
155,Portland,US,45.5234,-122.6762,84.78,47,40,8.05,scattered clouds
156,Solnechnyy,RU,50.7214,136.6319,70.99,70,100,4.45,overcast clouds
157,Barabai,ID,-2.5833,115.3833,86.36,69,51,1.72,broken clouds
158,Nadym,RU,65.5333,72.5167,63.0,40,84,9.93,broken clouds
159,Aktau,KZ,43.65,51.2,93.78,31,0,11.54,clear sky
160,Marawi,PH,7.9986,124.2928,78.49,81,90,4.0,overcast clouds
161,Evensk,RU,61.95,159.2333,57.4,75,84,6.98,broken clouds
162,Lompoc,US,34.6391,-120.4579,60.01,95,100,5.75,mist
163,Urengoy,RU,65.9667,78.3667,62.46,41,12,14.47,few clouds
164,Khuzdar,PK,27.7384,66.6434,86.77,50,7,7.9,clear sky
165,Danielskuil,ZA,-28.1887,23.5395,40.66,55,0,5.91,clear sky
166,San Andres,CO,12.5847,-81.7006,82.42,83,75,6.91,broken clouds
167,Roros,NO,62.5747,11.3842,48.04,87,20,2.3,few clouds
168,Voznesenskoye,RU,54.89,42.7569,71.74,64,100,10.94,overcast clouds
169,Port Blair,IN,11.6667,92.75,83.3,77,100,21.92,overcast clouds
170,El Sauzal,MX,31.9,-116.6833,63.18,86,30,3.96,scattered clouds
171,Butaritari,KI,3.0707,172.7902,81.68,80,57,15.43,light rain
172,Leningradskiy,RU,69.3833,178.4167,49.05,60,39,11.74,scattered clouds
173,Lodja,CD,-3.4833,23.4333,73.42,40,80,1.86,broken clouds
174,Betare Oya,CM,5.6,14.0833,67.24,97,100,1.88,overcast clouds
175,Mehamn,NO,71.0357,27.8492,55.35,88,0,4.61,clear sky
176,Khonsa,IN,27.0167,95.5667,80.47,79,98,2.44,overcast clouds
177,Ngunguru,NZ,-35.6167,174.5,57.43,74,2,16.46,clear sky
178,Vidim,RU,56.4088,103.1106,57.69,85,96,5.55,overcast clouds
